user_id,height,weight,bust,waist,hips,bust_to_waist,waist_to_hip,bust_to_hip,body_shape
user001,188,73,90,76,107,1.1842105263157894,0.7102803738317757,0.8411214953271028,pear
user002,170,83,103,97,91,1.0618556701030928,1.065934065934066,1.1318681318681318,apple
user003,185,84,82,73,78,1.1232876712328768,0.9358974358974359,1.0512820512820513,rectangle
user004,173,88,90,89,81,1.0112359550561798,1.0987654320987654,1.1111111111111112,apple
user005,182,56,96,88,91,1.0909090909090908,0.967032967032967,1.054945054945055,apple
user006,176,86,95,88,96,1.0795454545454546,0.9166666666666666,0.9895833333333334,rectangle
user007,152,81,86,76,100,1.131578947368421,0.76,0.86,pear
user008,188,62,104,96,100,1.0833333333333333,0.96,1.04,rectangle
user009,158,70,86,65,86,1.323076923076923,0.7558139534883721,1.0,hourglass
user010,157,91,93,80,103,1.1625,0.7766990291262136,0.9029126213592233,pear
user011,189,48,90,85,76,1.0588235294117647,1.118421052631579,1.1842105263157894,apple
user012,153,73,81,68,100,1.1911764705882353,0.68,0.81,pear
user013,183,54,88,81,77,1.0864197530864197,1.051948051948052,1.1428571428571428,apple
user014,189,65,92,86,91,1.069767441860465,0.945054945054945,1.010989010989011,rectangle
user015,173,70,97,82,94,1.1829268292682926,0.8723404255319149,1.0319148936170213,hourglass
user016,174,51,85,63,85,1.3492063492063493,0.7411764705882353,1.0,hourglass
user017,173,55,80,68,97,1.1764705882352942,0.7010309278350515,0.8247422680412371,pear
user018,184,77,84,73,103,1.1506849315068493,0.7087378640776699,0.8155339805825242,pear
user019,177,51,92,76,92,1.2105263157894737,0.8260869565217391,1.0,hourglass
user020,182,92,86,72,103,1.1944444444444444,0.6990291262135923,0.8349514563106796,pear
user021,184,88,101,94,98,1.074468085106383,0.9591836734693877,1.030612244897959,rectangle
user022,150,79,99,82,101,1.2073170731707317,0.8118811881188119,0.9801980198019802,hourglass
user023,150,49,98,92,85,1.065217391304348,1.0823529411764705,1.1529411764705881,apple
user024,164,59,94,92,83,1.0217391304347827,1.108433734939759,1.1325301204819278,apple
user025,181,48,89,83,78,1.072289156626506,1.064102564102564,1.141025641025641,apple
user026,164,87,88,67,89,1.3134328358208955,0.7528089887640449,0.9887640449438202,hourglass
user027,171,72,94,86,85,1.0930232558139534,1.011764705882353,1.1058823529411765,apple
user028,155,72,91,83,89,1.0963855421686748,0.9325842696629213,1.0224719101123596,rectangle
user029,179,55,102,94,105,1.0851063829787233,0.8952380952380953,0.9714285714285714,rectangle
user030,188,77,104,81,105,1.2839506172839505,0.7714285714285715,0.9904761904761905,hourglass
user031,152,83,92,84,83,1.0952380952380953,1.0120481927710843,1.108433734939759,apple
user032,182,86,103,96,103,1.0729166666666667,0.9320388349514563,1.0,rectangle
user033,181,76,88,80,83,1.1,0.963855421686747,1.0602409638554218,rectangle
user034,161,83,87,87,78,1.0,1.1153846153846154,1.1153846153846154,apple
user035,166,93,86,81,75,1.0617283950617284,1.08,1.1466666666666667,apple
user036,186,76,85,69,84,1.2318840579710144,0.8214285714285714,1.0119047619047619,hourglass
user037,175,76,88,82,76,1.0731707317073171,1.0789473684210527,1.1578947368421053,apple
user038,166,82,84,76,80,1.105263157894737,0.95,1.05,rectangle
user039,155,66,94,84,104,1.119047619047619,0.8076923076923077,0.9038461538461539,pear
user040,155,60,87,69,87,1.2608695652173914,0.7931034482758621,1.0,hourglass
user041,168,70,94,81,106,1.1604938271604939,0.7641509433962265,0.8867924528301887,pear
user042,181,51,88,83,90,1.0602409638554218,0.9222222222222223,0.9777777777777777,rectangle
user043,188,62,80,73,83,1.095890410958904,0.8795180722891566,0.963855421686747,rectangle
user044,174,94,94,82,113,1.146341463414634,0.7256637168141593,0.831858407079646,pear
user045,156,60,100,92,92,1.0869565217391304,1.0,1.0869565217391304,apple
